"","content","rating","date"
"11","For some reason I stopped following this show long time ago, even before tenth season I think. Recently, again for some inexplicable reason, it came to my mind and I decided to start it all over, from season one, but this time I'm gonna finish it, or better to say catch it, because I hope it will never end. This morning I finished first season. There's nothing better than healthy laughter with morning coffee. After 20 years this season is still fresh and hilarious. One of the strongest tens I ever gave.10/10""There is actually a lot of intelligent social commentary here - it's just masked under anything they could possibly offend someone with."" - chthon2","10","16 October 2017"
"12","This cartoon series has a very outrageous style of humour that can put some people off, especially the very offensive character Cartman. Yet it is often done in the service of satire that mostly hits the mark. The plots are also very outrageous though I think they ran out of original ideas as the years went on and just started to parody themselves and popular culture like Family Guy.","10","20 August 2020"
"13","This is the show about the four foul mouthed little kids in Colorado.  Well, three now, with different kids rotating in and out to fill the spot that Kenny left.Matt Stone and Trey Parker are comedic geniuses.  I think that people who simply brush this off as uninspired pandering to foul mouthed kids like the ones in this show aren't looking deep enough.  There is actually a lot of intelligent social commentary here - it's just masked under anything they could possibly offend someone with.",NA,"20 May 2003"
"14","This show always makes me laugh. I've been watching for almost my entire life....it was basically my childhood! This show has always been my favorite adult cartoon, and maybe even one of my all time favorite cartoons! All of the characters are likable in some way. This show was also a miracle for adult cartoons' reputation, along with Rick and Morty. While I feel like Family Guy isn't doing so well in its later seasons, along with the Simpsons, and American Dad has quite a couple of duds, I feel like South Park really stands out. South Park is also a very creative show. It has an art style that I've never seen before in a show. Also, it has such controversial jokes and plots that many adult shows wouldn't DARE to step into. If you enjoy controversial humor and hilarious shows, I'd highly recommend South Park. :)","10","29 March 2016"
"15","I remember back when ""South Park"" first came out and I thought to myself it was an awful show if only because of the animation. This is definitely something that's grown on me. Many people chastise this show for being mean spirited, but it honestly isn't. I love the episodes where they say that if you're a genuinely good person, it doesn't matter what your (religious) beliefs are. The important thing is to do the right thing and that's something my family always taught me. Contrast this with something like ""Family Guy"" where they say you're an idiot if you believe in God. Trey Parker said that of all the ridiculous things religion teaches, atheism is even worse as it teaches that things happen for no reason. This is a wonderfully original and insightful idea.It's weird how people can support other shows like Bill Maher. He outright says you're a bad person because of what you think. In this show, it simply says to live your life the way you want because your ideals work for you. Maybe religion will die, but the spirit of love will always live on. While you may argue that ""South Park"" does not have a consistent ideology, you could say the same for the Nostalgia Critic. I'm certain you'll be offended by at least one thing they say. Controversial jokes work great if they're done well. They need to be done with no real spite like this show does. Yes, the show is quite obscene, but it definitely makes you think more than most shows.It's hard to find a cartoon that is so topical. All you really have to do is just look at the world around you and imagine what the next episode of ""South Park"" will say about it. This is a great example of how pop culture reflects everyday life. The show used to be known for Kenny dying in every episode, but now rarely does it at all. This show has in fact changed for the better and it does treat the viewers with respect. My favorite character would have to be Butters. It's probably because he's the only kid who doesn't swear and he reminds me of how I was in the exact same position as a kid.Should kids watch this? No. We spend most of our lives as adults so we'll have a lot more time to watch shows like this. It's great that the show is developing more and more of an ongoing storyline. Trey Parker and Matt Stone are great people who want you to accept who you truly are. This show is a great source of entertainment, but might be hard to follow politically. It's nice how they make fun of everyone who exists, but don't resent them. If you think that characters like Cartman are supposed to be loved, you're missing the point. Cartman exists for the role of showing the creators' frustrations towards true bigots. It seems like you're missing out on a lot by rejecting this show, but that's fine. I personally find this to be the funniest and most relevant cartoon ever made. It's certainly dark, but lacks true malice. I do think it's important to make jokes that are relevant to a story, because it's just better written. I'm glad this show has gone on so long. ****","10","14 September 2016"
"16","The title of my review says it all. This show had great stories for over a decade and then they decided to get all silly and try to have a story arc every year. I have trouble watching an entire new episode now.","8","17 March 2019"
"17","Stan. Kyle, Cartman, Kenny, are the funniest thing to ever come out of Comedy Central thus far, and I have a feeling that will remain true in the future as well. ""South Park"" is hilarious, thought-provoking sure, but mostly hilarious in it's profanity and outrages situations. From time to time it seems to ruffle the feathers of the ultra-thin skinned PC crowd due to the Libetarian philosophy that pervades in most of the episodes, but they're huge p%&sies anyway. Sure this had a few lame episodes, but never in a row of four and never enough to make a whole season not worth watching (yet the 8th season WAS trying at times). But overall it's a great show, and if Matt Stone & Trey Parker are able to keep the pace up for another year of great episodes then it'll have a better run than the Simpsons, in my mind, that had stopped being good at around Season 9 or 10 (I don't really see the first 2 seasons of that show being that great either, so that's 7 seasons of Simpson's genius hilarity against about 8 of South Park that were great) My Grade: A+","10","29 October 2005"
"18","South Park is HILARIOUS!It is very much a satire, but it being animated gives the creators and writers freedom to do practically whatever they want, and there are NO restrictions in this show. The story lines are constantly funny and amusing, and always entertaining. This is a better show and satire than The Simpsons and Family Guy, and hopefully it continues to bring more episodes for a long time. Also, the way that time never really moves or the boys age is part of what gives it freedom to do whatever it wants. This is a show not afraid to make fun of ANYTHING and not afraid to do whatever it can to make us laugh.",NA,"3 May 2011"
"19","Now listen, i'm giving this show a 9 because the previous seasons before season 19 were excellent. They really influenced many other hilarious shows, and part of the fun of my childhood was tuning in to South Park when my parents were gone, only to be caught watching it. But the thing that keeps me from giving this show a perfect 10 is because i think the show has changed for the worst.So like i said first 18 seasons of South Park we're excellent, even the bad episodes in there still had great memorable moments. I tuned in to Season 19 and i noticed they wanted to do a story season were everything is connected. But that season provided little laughs and the finale was disappointing. I had high hopes for Season 20 because i thought Trey and Matt (the show's creators) had listened to the feedback on Season 19, but Season 20 was even worse then the last one. Many characters went through unnecessary changes, they put so much political topics into the show to the point where it felt like overkill, they managed to make Gerald (Kyle's dad) the most unlikable character in the show, many things that the show sets up are quickly forgotten, and the ending was bad (not disappointing like season 19, but just bad). Season 21 was an improvement from Season 20 but the show was still missing something. And i think i know what killed South Park.It's no secret that South Park has many political and social commentary tones, but that was never the main point of the show, that was just a good addition to it. But it's like Matt and Trey forgot that, and they made the social commentary the MAIN point of the show.The sad thing about it is Trey and Matt really want to go back to the roots of South Park, but they forgot how to. They got so carried away with Politics that they forgot that the heart of the show was 4 foul mouthed kids in a small mountain town that find themselves in the dumbest of situations. They completely ditched that part of the show and i eagerly want it back.","9","16 December 2018"
"20","16 October 2017For some reason, I stopped following this show a long time ago, even before the tenth season I think. Recently, again for some inexplicable reason, it came to my mind and I decided to start it all over, from season one, but this time I'm going to finish it, or better to say catch it, because I hope it will never end. This morning I finished the first season. There's nothing better than healthy laughter with morning coffee. After 20 years this season is still fresh and hilarious. One of the strongest tens I ever gave.10/10(I'm near the end of the 8th season now and it still kicks ass.)24 December 2018In the last year I have seen all 22 seasons of ""South Park"" and, although it had its ups and downs, overall it's one of the best TV shows of all time and definitely the ultimate animated one. I can't wait for the 23rd season.","10","24 December 2018"
"21","I could type a book about this show.South Park is about a coo-coo f'd up town and their f'd up grownups, children and politics.From season 1 to season 24 South Park had an Excellent, Funny, Good, Decent, okay, what happened?, to WOW iCONIC run.South Park is pure Gold.
South Park is gold because it pushes the limits in every episode.
South Park can be political but its done right.Each and every character past, present, dead, alive, young and old are funny and memorable.Stan is the sarcastic, don't give a S*** while remaining calm kind of a boy.Kyle is the moral compass of the 4 boys but that doesn't make him into a p****. His Cartman's hatred after 24 years is still fresh and fun.Kenny is kind of just there to die, do complicated tasks and for poor people jokes. As Mysterion he is a totally different character.Cartman is the face of South Park. His immature, psychotic, antisocial behaviour is what makes the show so special. Without him then South Park would be no more.My favorite outside the 4 boys is Mr. Garrison. He is like Cartman but in grown up form. He is a gay character done right.I wish to know and see more Clyde, Token and Craig.Honorable mention to the Late Chef, he was the moral compass for the children when they were down and out and ll other grown ups shunned them instead of helping them.
Another honorable mention to Butters who is a naive, passive wimp who gets grounded from almost anything. Cartman uses and abuses him as much as Butter's own parents does.
Butters doesn't learn after 24 years. He falls for the same tricks over and over.Each and every episode including Pip episode and Towlie Ep are memorable and iCONIC.South Park also does a great job producing songs. Many of their songs are catchy and purely fantastic to listen to.Over the years, either the network, or other countries and religious fanatics have censored South Park Episodes.
Its like you are on a playground and someone who you aren't talking to, starts insulting a sports team. You overhear it and want to censor them even though you can just walk away. That's what South Park has dealt with for over 24 years. Many people get triggered over a show that they can just not watch.
Verdict: South Park was just a perfect, fabulous, funny Gold show. I've binged South Park for years. It remains funny each time.","10","23 October 2020"
"22","I love this show so much! I think this show has sometimes lost it's edge, but it always managed to get back in the game.","10","8 November 2018"
"23","Sex violence drugs racism all the funny things that people like","10","16 December 2020"
"24","Funniest character is Eric Cartman!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","10","8 February 2021"
"25","When ""South Park"" first came out I ignored it and thought it was another passing fad for young kids. I never gave it a chance. I figured it was crude for the sake of being crude and didn't watch more than five minutes of an episode.Then I saw the movie, which I thought was just about one of the funniest things ever. ""Uncle F***a"" had me in tears. ""Bigger Longer & Uncut"" is one of the most consistently funny films I've ever seen, and even as a musical/animation it worked very well.So I gave the TV show another chance. I fell in love with it. I watch it much more now. Sure, it is very crude, sometimes a bit too much so. It's immature and juvenile. But it's also very clever.Trey and Matt get away with loads of stuff other people could never get away with on TV. I don't know how they keep pushing the boundaries. One episode of ""South Park"" had so much swearing, a profanity was outlawed from public television ""indefinitely."" Sometimes the gags are kind of lame because they are so juvenile, but for the most part it's really funny. Matt and Trey basically do all the voices including celebrity impersonations.I think this is a really clever, really self-satirical show that's sorely needed during times as restrictive as these. With ""South Park"" pushing the boundaries on public TV we can all sleep safely at night knowing our nation's level of tolerance is in good hands.","10","18 August 2005"
"26","South Park Is the best TV show on Planet Earth. I actually think it's better than Rick and Morty. But, does it deserve a 10? 
When people who only watch Rick and Morty hear South Park, they think it's a very lazy and crude show (I will be ripping my friends' love for Rick and Morty to shreds). South park is actually the opposite, it is intelligent, funny and in some places heart warming and sad.
The characters are perfect, I love Cartman, Kenny, Stan, Butters, Randy and my personal favourite Kyle. The supporting cast are some of the most memorable characters, not as good as The Simpsons.
The episodes are some of the most memorable scenarios ever put on television. Hilarious episodes like the zip lining episode, unexpected episodes like the Christmas Critters episode, episodes exploiting people opinions and views on the world like ""Chinpokemon"" and ""Passion of the Jew"", very emotional episodes like ""You're getting old"" and my personal favourite episode ""Raisins"", very dark episodes like ""Scott Tenerman must die"" and the very important ""Osama Bin Laden has Farty Pants"". There's such a variety than Peter Griffin doing something stupid or a wacky Sci-Fi adventure with Rick and Morty.
The show has fallen. It's now a very boring show. But, instead of looking at the present, we have seasons 1-17 to rewatch. I have many respects to Stone and Parker for giving us a show that even my mother can love.","10","28 August 2018"
"27","I started watching this show a couple of years ago. The first episode I watched had the ""Timmy"" character as the main star (?). Of course - I immediately thought to myself, ""Is there no shame<U+0085>is there?"" I was also - laughing so hard, I could not stop crying. This is a show for those who have no political allegiance and were born with that rarest of attributes<U+0085>thick skin. If you like this kind of humor (and I do) the laughs are non-stop, cutting edge and always outrageous. If you are offended easily, watch something else. Maybe a show like 'Friends' is right up your alley. You will hear the same overly-clichéd and acceptable hard-left jabs at conservatives, which are all reinforced by the tiring sounds of obvious laugh-tracks. These guys (on South Park<U+0085>not Friends) are no one's lapdog. They dig at everyone and anything. Nobody is holier-than-thou and everyone wears a comedic target on their back. Because of this approach, I feel the show is more honest about its humor (much like, 'Saturday Night Live', was in the '70s), where nothing is sacred and nothing is expected. The big difference is that you don't have to wait the entire show for a laugh. The writers are not a bunch of Suzy-suck-ups and write on strictly impulse<U+0085>now that is courage. Additionally, I think each one their little animated characters are destined to become cult-heroes<U+0085>or not. Fun show and thanks for the laughs. I cannot wait to see the spin these guys put on 'The 2014 Sochi – Olympics.""","10","12 February 2014"
"28","I read in complete disbelief the comments that called the show racist, homophobic, anti-religious and even one that said it promoted animal cruelty. LOL! There isn't a single race, religion, political group, sexuality, gender, nationality, celebrity etc etc that it doesn't make fun of. The show even pops fun at itself in some episodes, signalling to the world that they themselves are open to ridicule. If you think the show has a nasty message about a certain group then your just not getting it and i'm glad you have ceased watching and have moved on to more brain numbing programmes that don't cause you to think (might I recommend 'Friends').","10","20 February 2010"
