"","content","rating","date"
"11","For the first 8 seasons or so that it was on the air, ""The Simpsons"" was one of the greatest television shows of all time. Wonderfully developed characters, biting satire and top-notch writing made this cartoon a joy to watch. However, the show began to slide in season nine, and while it remained watchable through season ten or so, it has now become a shell of its former self. From about season 13 on, this formerly awesome show became the kind of ""entertainment"" it once parodied so well.Several factors have contributed to the sorry drop in quality of the show. First, Homer's character has changed. He used to be a bumbling idiot, but had some good qualities. He has now morphed into a super-annoying, always in-your-face kind of moron. There is nothing likable about the new Homer. As for the other characters, Marge has become as morally bankrupt as Homer and is not likable either. Lisa, always a weak character, is now a little spokesperson for the Democratic Party. She spews out more propaganda than the ""Weekend Update"" no-talents on SNL. An eight-year old Buddhist? Come on! Bart has become less of a creative troublemaker, and is now more of a wimpy sidekick to Homer. The killing of Maude Flanders was inexcusable, and characters like Milhouse and Moe have become sometimes frighteningly weird (references to Milhouse-a ten year old boy-being gay and/or a cross dresser, for instance). Apu having all those kids was absurd. The shows now revolve around ""wild and crazy"" plots, with Homer constantly in the forefront. There is the constant, unnecessary use of blood and gore (Homer seems to always be cutting off something, and we are supposed to think it's funny). Also, the gratuitous use of guest stars is sickening. They are never funny, and serve only to promote and glorify themselves. ""The Simpsons"" used to poke fun at these pretentious celebrities. If this show stays on the air just a few more years, there will be more bad shows in syndication than good ones.The DVD season-by-season sets are great, and really serve to remind us of how far this once incredible show has fallen. I'd advise everyone to buy these boxed sets and remember the great writing, inventive plots and brilliant characterizations that flourished during the first 8 seasons of the greatest cartoon series in history.","4","28 May 2005"
"12","I've watched it since season 1 and it was fantastic the best episodes are from 1989-2002.The earlier seasons had great Humor, Dialogue, Memorable Lines, Funny charactersTHESE NEW EPISODES SUCK ASS. Take the show off the air.","7","4 March 2021"
"13","Originally ""The Simpsons"" were animated segments on ""The Tracy Ullman Show"" before they got their own series, which became a mega-hit. And what has made them so popular? Perhaps good timing; animated sitcoms meant for adults were a novelty at the time. Yes, the show does have some wit, and the stories are fast-paced. But even it its salad days, it wasn't as funny as all that. Basically, it's a standard sitcom idea that's been done many times before-stupid father, smart mother who puts up with everything, smart kids who really know what's going on (or so they believe), with liberal propaganda thrown in.The series still goes on, even though many viewers complain that the show went downhill by the end of the 1990's. What makes it continue? It has a cult following and still gets viewers, and FOX seems to want to milk it for all it's worth, and more. And that's why I compare ""The Simpsons"" to the Rolling Stones, a band that continues by living off its past image.","4","23 September 2013"
"14","What more can I possibly say about a TV show that has already been praised to death?  I was 15 when the Simpsons first aired and I'm 25 now.  I've seen every single episode, and I'd have to say it's a rare combination of factors that come together to make The Simpsons the best show ever.It's a very clever and intelligent show - they never dumb anything down - and as creator Matt Groening has remarked, ""The Simpsons is a show that rewards paying attention.""  There are always enough obscure pop-culture references or subtle background gags to ensure that the second, third, or tenth viewing of an episode will find you noticing something you hadn't before.In the early days of The Simpsons, they derived a large part of their popularity from the everyday, down-to-earth, unglamorous, average-blue-collar-slob aspect of the Simpson family.  Homer is lazy and doesn't like his job, Bart doesn't excel at school, the plastic ketchup bottle they use at the dinner table makes that farting sound, and so on. This aspect of the program contrasts it with popular 80's family sitcoms such as The Cosby Show which always featured impossibly well-functioning families who got along a little too perfectly and usually learned a neat little lesson at the end of each episode.  An early tag-line for The Simpsons said that they ""put the Fun back in Dysfunctional.""Perhaps this blue-collar-slobness by itself is nothing shockingly original - think of previous TV shows such as Roseanne, Married with Children, All in the Family, The Honeymooners - but the Simpsons doesn't stop there.  This show is extremely densely packed with jokes - everything from cerebral witticisms and sly satire to Homer falling down and going ""D'oh!""  Because it's a cartoon, the writers can get away with surreal gags such as the time Homer tells a joke which falls flat, after which a long silence happens which is punctuated by a single tumbleweed rolling through the Simpson's living room.There are just too many things to mention about The Simpsons.  It can be touching occasionally; more often the viewers are treated to an unequalled cavalcade of obscure references, surreal sight gags, wacky adventures, self-mocking irony...   The list goes on and on.  Just watch it, else you're missing out on one of the most important elements of 1990's popular culture.",NA,"5 June 1999"
"15","When the animated TV series ""The Simpsons"" first came out, nobody could image how successful it would become. But they made this a clever TV series: that original family with their silly humor conquered many people. From 1989 until (maybe) almost the end of the 1990's, this was a great TV show. It was very humorous, highly creative and had all the needed ingredients to be a classic.All of the characters are very peculiar and eccentric: Bart, Lisa, Marge and Homer. On the other hand, Maggie is innocent because she's a baby. Marge has that weird hair and Homer is more than just the silliest of all Simpsons: he's the silliest ""family chief"" ever!However, in these last years ""The Simpsons"" has been notoriously going downhill. It isn't that great anymore. It doesn't have that classic status any longer and its humor has become more irritating. It isn't so funny anymore.Now is definitely time to put an end to this TV show. They should have done that years ago. The more time they'll take to finally do it, the more they'll ruin it.",NA,"14 August 2007"
"16","So sad - what's happened to once truly great show's such as Simpson's and South Park.I only give the show an additional 1 point for the first 8 or 9 seasons I would give a 10","3","15 March 2021"
"17","To address the failing quality:The Simpsons once mocked and then it became mainstream pop culture. So that is a cause of why it has declined.And another cause is that there is a new PC comedy trend to laugh at things. As in the audience is expected to laugh at the object itself without having an actual joke behind it. As in, ""This is a computer, Laugh at it!""Because of that we see a transformation of the jokes. The celebrity guests were once the butt of the joke. Mulder and Scully came on and the Simpsons mocked them. Now the joke is the celebrity guest. As in, ""This is Lady Gaga,"" or ""this is Michelle Obama.""They aren't spoofed or satirized in any way, the audience is just asked to laugh at the fact that they have a celebrity guest.And the final reason is the laugh track comedy, in which the Simpsons has none. That is no laugh track. But now the writing sets up the jokes with almost a pause for laughter as if the tracks were there.In the past the jokes were piled onto one another. There would be several jokes stacked right next to one another in a single event. Now it has become joke, pause to acknowledge the joke, continue.But no ones really laughing because it's no longer mocking culture, it's no longer spoofing the celebrity guests, and it's lost virtually all of its edge.","5","25 February 2019"
"18","No one, not even Matt Groening himself, could've imagined that The Simpsons would become as big as it did. Nor could anyone anticipate it could become so cultural. ""D'oh"" is in the dictionary, and it has spawned off several catch-phrases and one liners. Truly, The Simpsons is the biggest thing since Seinfeld! The first three seasons showed them as if they were an actual family. Like the kind of family you'd meet on the street (only a lot more dysfunctional). Homer trying to do the fatherly thing in each episode. Marge being the voice of reason all the time. Lisa and Bart with their sibling rivalry. These first three seasons are not usually sighted as being the best, but they are often brought up when one speaks of ""The Best Episode Ever!"" By Season four, the show took a turn for what may have been the best. It left it's more realistic roots and became more of a satire. With more zany antics and more clever, witty, and often times sophisticated humor, The Simpsons became the most popular family on television. Each episode still contained it's own merits, themes and messages. Seasons 4 to about 10 are often said to be the ""Golden Age"" of The Simpsons.However, as the year 2000 came, fans began to see themselves divided. Those who stuck with the show since it came about in 1989 were quick to jump on how the show changed. The humor became more lurid and toilet like, with antics becoming heavily more unrealistic and zany (to the point where some even say it isn't funny... but stupid). Some characters becoming unrealistically stupid, and the show shifting gears from focusing on Bart to Homer... to everyone outside of the Simpson family. The show also began to see more cumbersome and meaningless plots. Plots that didn't focus on current issues, or that didn't seem to be as strong as older episodes. Despite this, new fans seem to have come about to replace then, and the show continues to remain at the top of its game, even today.I'm sure you all know where I stand on that debate. Nine stars to nine fantastic seasons.","9","1 June 2006"
"19","I have to give the simpsons credit. They have been around for 11 years and is still one of the most popular shows. Sometimes (most of the time) their funny and other times, are serious. I give the show a 9 out of 10.","10","14 January 2000"
"20","It's very hard for me to try to put a rating on this show. At one time it was the best comedy series on TV and possibly even the best one ever. Unfortunately it went into a decline after the first ten years or so, and then a steep decline, to the point where it is less than a shadow of what it once was. They really should have quit several years ago, but at this point they might as well just keep going and see how many episodes they can rack up before the plug is finally pulled.","5","7 August 2018"
"21","I love the Simpsons. Correction, I Loved the first 9 seasons of the Simpsons. Back then it had to be the most wittiest, cleverest, enjoyable TV show on the planet. It is for that reason that I find myself in such despair now. Let's face it folks the hey-day of the Simpsons was well over a decade ago. Talk about a show that just doesn't know when to stop. It aggravates me to no end to witness the desperate lengths this show goes to year after year. Every show has a shelf life people and the Simpson is way past its expiration date. I truly think that the only reason it is still on the year is force of habit. Both the public and the Fox network are so used to having on that they shutter at ending it. Trust me, It should end.","4","27 May 2010"
"22","The Simpsons has similarities to other sitcoms, only this show is animated. The animation is very eye catching(where else will you see a show where most of the people are yellow).This show follows the Simpson family. The Simpsons live in Springfield, but the state is never mentioned. The family members are Homer, Marge, Bart, Lisa, and Maggie. The other Simpson is Homer's dad, Abe(Grampa) Simpson.This show has been very successful, and is currently the longest running animated show of all time. Part of the reason for its success is the way they alternate which character is the star of the show. I remember when the show first came out, Bart was considered the star of the show, but after a while, Homer became more of the star. Even though those two characters are the stars of the show, there are certain episodes that focus mainly on one of the other Simpsons, or one of the other characters in Springfield.There are a bunch of other characters in the show, like the depressed bar tender Moe, Homer's drinking buddies Lenny, Carl, and Barney. There is also the Simpson's overly religious neighbors, the Flanders, Homer's boss at the Nuclear Power Plant, Mr. Burns, his boss's assistant, Mr. Smithers, and the Indian guy who runs the Kwikie Mart, Apu. At Bart and Lisa's School, the main characters are Principal Skinner, Bart's friend Milhouse, the bully Nelson, and so many others.That is another reason for the big success of the show, the way that so many characters and character's interests create more and more episodes.When this show was first released, some parents thought it was too dirty and inappropriate for their kids to be watching. This was before Beavis and Butthead, South Park, and Family Guy came out. Today, this show is very tame compared to those shows. That doesn't matter to me though, I love all of the shows that I mentioned above.Another great thing about The Simpsons is how they can get so many celebrities as guest stars. Many times, when a certain episode isn't very good, the celebrity guest star can help save the episode from becoming real bad.Even though The Simpsons has poked fun at religion, it has also been applauded for awareness of other religions.Unfortunately, The Simpsons has started to lose its greatness. While I don't hate it like many others, I do agree that it isn't as sensational as when it was still new and fresh. If the show were to be canceled, that wouldn't be entirely bad. If it is canceled now, then everyone can look back upon how great the original episodes were and not have to worry about the newer ones being worse than the originals.This is a great show, if you haven't seen it, see it as soon as possible.","8","30 May 2005"
"23","I was hesitant to give this the rating I did, but from reading other audience reviews, my review actually will come across as far more... lenient. What can I say that hasn't been said already, the golden age of The Simpsons (seasons 3-8) is flawless television. Going through it again, it was awe inspiring to me how they manage to structure joke upon joke upon joke upon joke, something that must've been a complete breath of fresh air considering the boring, lifeless, milk-toast excuses for comedy shows that were coming around at that time. Yeah, those ones using canned laughter which relied completely on actors and people being loud as an excuse to be funny with a roaring laughter every 5 seconds spoon feeding the audience of when to laugh, with an exception of Seinfeld these were just boring shows for boring people, The Simpsons was intelligent, heart felt, structured and most of all... FUNNY.However, all good things must come to an end. In an ideal scenario, The Simpsons ended on season 10 and season 9 didn't include the infamous 'The Principal and The Pauper', it lives its legacy as one of the greatest TV shows of all time and is passed down from generation to generation. Sure, the season 9 and 10 weren't golden age material, they were still solid entries in The Simpsons canon but then from season 11, things started to drastically change, we were getting episodes which would've been some of the weaker episodes in a golden age era season that were the best episodes of the season they were actually in. Sure, season 13 was pretty good but the show was tanking in quality almost directly after, pretty much season 14 onwards was terrible (not to mention the really bland movie). Now we're on the 31st season, the show is just completely unwatchable, the best episodes are mediocre and boring and the worst episodes are... 'Lisa Goes Gaga' (if you know what I mean). The show, at this point, is almost completely unrecognisable, a mere slight resemblance of what it once was (even the animation sucks nowadays), that's why it's so damn difficult to rate this show, at the same time it's one of my favourite and least favourite shows, the show should've ended 20 years ago, you can't keep lightning in a bottle for that long, it's not a show that is relevant to today's cultural landscape, it would be so much more respected if it had ended on its 10th season. That's why I can't in good conscience rate this show the 9 or 10/10 that I want to... but the only reason I'm giving it a 7 over a 5 is because even though there is more bad than good of The Simpsons (more signals for it to just end), the golden age is some of the best television to have ever been constructed and cannot be ignored.Here's how I'd rate the seasons:
Season 1 - 8/10
Season 2 - 8/10
Season 3 - 9/10
Season 4 - 9/10
Season 5 - 10/10
Season 6 - 10/10 (best season)
Season 7 - 9/10
Season 8 - 8/10
Season 9 - 8/10
Season 10 - 7/10
Season 11 - 6/10
Season 12 - 6/10
Season 13 - 7/10
Season 14 - 5/10
Season 15 - 4/10
Season 16 - 5/10
Season 17 - 4/10
Season 18 - 4/10
Season 19 - 4/10
Season 20 - 6/10
Season 21 onward - 2/10","8","13 April 2020"
